OBJECTID,zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_white,Pct_white_fixed,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,EVCS_den,CS_cnt_22,CS_pt_22,FS_cnt,FuelVeh_Cnt,num_EV22_12,Pking_sum,len_cnt,len_mile,num_bachelor,Pop_22
290,60611,0.885381,-87.61820469,41.89434562,35.10815308,110.6868117,92.8,40.5,27.7,65.81,65.81,83.15033904,249013,10.591873,4.113827,0.6547,1.0088,15.04268,48.566662,43,98,0,780,422,0.03642382,220,10.547953,29308,35247
291,60612,3.813055,-87.68747753,41.88051673,12.3901988,3.409339755,89.4,43.6,14.6,27.13,27.13,29.16219275,74824,9.109095,6.944037,0.9874,1.0532,21.559878,1.573541,6,13,7,1895,268,0.26478308,719,67.771162,10049,34459
292,60613,1.885413,-87.66001369,41.95399234,17.51690227,4.243102174,103,47.7,13.7,74.93,74.93,66.16885741,170964,10.224102,2.662739,0.7909,1.2384,24.483174,2.121551,4,8,4,1342,285,0.05020329,346,35.619569,34382,51961
293,60614,3.355569,-87.65102866,41.92263241,31.76826959,3.576144612,97.8,38.6,14.1,82.4,82.4,68.16222926,250000,9.969639,4.111264,0.9215,1.2812,18.63674,1.49006,5,12,6,1802,839,0.13795756,634,55.884659,48873,71701
294,60615,2.369067,-87.60341547,41.80195119,11.0821382,1.266321299,86.2,38,20.1,29.25,29.25,47.91958859,101412,9.80133,3.042773,0.8266,0.9332,20.997556,0.844214,2,3,6,1364,170,0.07208634,312,38.723199,20500,42780
295,60616,3.779486,-87.62796609,41.84452226,10.70738307,2.910448669,95.4,43.6,22.9,31.81,31.81,43.22196293,98224,9.542916,9.266935,0.9707,1.0694,22.015348,1.587517,6,11,8,2310,277,0.35024382,828,70.981729,22781,52707
296,60617,17.651703,-87.55720338,41.70972302,1.002246414,0.056651758,83.8,37,21.9,21.22,21.22,14.16911093,63412,8.458026,0.801615,1.2859,1.0099,11.395842,0.056652,1,1,9,5729,58,0.14149876,1118,186.25079,11787,83188
297,60618,5.059562,-87.7029244,41.94662964,12.30941704,1.976455669,99.6,49.4,13.5,61.23,61.23,41.02022009,124825,9.810815,3.217423,1.326,1.4229,26.752854,0.988228,5,10,17,3911,549,0.16278875,943,108.709018,37835,92235
298,60619,6.101187,-87.60532129,41.74394561,1.027631879,0,76.1,37.7,26.8,1.37,1.37,20.69056797,55878,9.200973,1.343562,0.9792,0.7819,21.232568,0,0,0,25,4334,45,0.08197342,711,117.286404,12506,60443
299,60620,6.913464,-87.65166479,41.7407705,1.023605598,0.289290579,78.6,36.3,24.3,1.77,1.77,13.25332943,58226,9.198633,3.47625,1.088,0.8621,21.551187,0.144645,1,2,16,4738,49,0.24033057,965,135.104337,9056,68330
300,60621,3.772087,-87.63987815,41.77630623,0.940265487,1.325526161,96.9,36.6,22.3,2.75,2.75,9.967774197,39614,8.875853,1.218381,0.8207,0.726,27.271262,0.795316,3,5,11,1791,17,0.04595854,590,79.558728,2691,26997
301,60622,2.594312,-87.68380074,41.90331259,17.25319215,0.38545865,100.5,50.8,9.3,72.75,72.75,60.91502299,172171,9.94238,2.419243,1.0886,1.4325,27.038109,0.385459,1,1,4,2657,554,0.06276241,535,55.324041,32860,53944
302,60623,5.448693,-87.71709661,41.84884398,0.652090526,0,93.6,37,19.4,25.2,25.2,9.279346308,46646,9.55112,1.211494,1.1802,1.0038,19.086351,0,0,0,9,5180,34,0.06601066,697,95.066483,7109,76611
303,60624,3.552494,-87.7232282,41.88080328,0.985915493,0.281492383,90.8,36.2,19.5,5.47,5.47,8.866083445,44926,9.214247,1.921148,0.9108,0.7979,21.633854,0.281492,1,1,9,2109,21,0.06824878,434,57.10615,3162,35664
304,60625,3.662941,-87.70434244,41.97182967,10.82756106,0.27300467,96.9,47.5,14.7,53.85,53.85,39.60844874,97189,9.995209,2.29512,1.1353,1.3714,22.52537,0.273005,1,1,7,2446,297,0.08406795,485,66.698691,31804,80296
305,60626,1.769159,-87.66965155,42.00913512,8.021390374,2.260961282,94.1,44.9,16,51.31,51.31,40.4667398,86510,10.25197,3.627856,0.7903,1.1164,21.650658,1.130481,2,4,5,1376,120,0.06418403,284,31.222388,20288,50135
306,60628,10.899455,-87.61772526,41.69218582,3.557312253,0.091747707,85.1,37.8,24.7,4,4,16.15135382,57989,8.636762,2.006539,1.2545,0.8627,18.04363,0.091748,1,1,14,4880,180,0.21870275,1082,178.98222,9920,61419
307,60629,7.553414,-87.71275391,41.77501522,0.650195059,0.132390466,97.8,36.6,17.3,32.54,32.54,9.136031267,64297,9.577076,1.199176,1.5117,1.1776,19.813522,0.13239,1,1,19,8404,55,0.09057855,674,134.371319,9958,108997
308,60630,4.736033,-87.75797947,41.97191239,6.98159083,0.422294355,99.1,43.1,24.4,63.32,63.32,32.8239443,108843,9.365238,1.394591,1.5555,1.2601,24.387768,0.211147,1,2,12,2678,201,0.06604782,695,94.134504,18150,55295
309,60631,3.850515,-87.81399555,41.99453806,5.211885046,0,93,41.4,24.6,80.82,80.82,37.20823197,140823,8.974583,2.520049,1.6254,1.186,24.451726,0,0,0,1,1946,107,0.0970345,496,70.577257,11318,30418
310,60632,7.690598,-87.71337637,41.81192764,1.587301587,2.340520204,106.1,38.7,16.7,38.23,38.23,9.28078544,61594,9.32642,2.613501,1.5061,1.2067,17.823718,0.520116,4,18,22,6138,99,0.2009939,708,114.015587,8016,86372
311,60633,8.691294,-87.55758085,41.65588935,1.299756296,0,99.5,41,21.5,41.34,41.34,11.98553055,73888,7.266351,4.217443,1.5005,0.9873,6.493025,0,0,0,0,1215,16,0.36655059,281,45.568516,1491,12440
312,60634,6.565278,-87.80316789,41.945359,3.849787435,0,93.1,43.5,21.8,60.47,60.47,19.65125934,94596,9.355021,1.120474,1.6786,1.3416,22.449561,0,0,0,7,4071,163,0.07356248,497,111.696102,14910,75873
313,60636,3.783643,-87.66902747,41.77586877,0.226671704,0,92.5,34.8,25.8,4.51,4.51,6.988904904,42083,8.972683,1.98666,1.0176,0.708,23.99829,0,0,0,11,2641,6,0.07516728,508,73.103592,2085,29833
314,60637,4.525875,-87.60301412,41.78104981,3.807796917,3.314276245,79.4,33.4,18.8,16.06,16.06,23.11271874,48290,9.332609,2.644658,0.7802,0.8035,19.649726,1.104759,5,15,7,2122,84,0.11969459,569,65.217043,11821,51145
315,60638,11.487542,-87.76996698,41.78288695,1.815142107,1.741016486,104.3,41.9,20.5,60.24,60.24,17.45877956,102316,8.523464,2.63641,1.7326,1.2749,13.03609,0.261152,3,20,11,4111,76,0.30285765,833,137.470604,10091,57799
316,60639,4.581825,-87.75599797,41.92045662,1.235305838,0.873014574,99.6,38.8,18.9,32.24,32.24,10.63016141,64911,9.831223,2.196739,1.4607,1.3145,26.181369,0.218254,1,4,15,4957,62,0.1006502,621,87.521414,9062,85248
317,60640,2.928632,-87.65988835,41.9710549,15.2173913,3.073107171,108.2,50,17.9,60.96,60.96,53.35056524,114697,10.042633,3.417075,0.781,1.0859,18.042759,1.707282,5,9,7,1482,266,0.10007246,459,46.153979,35914,67317
318,60641,4.092557,-87.74703182,41.94617892,5.090054816,0.488692033,100.6,45.4,17.6,50.98,50.98,25.05219812,98783,9.732228,1.773365,1.4697,1.3738,26.53284,0.488692,2,2,9,3636,195,0.07257673,564,86.634304,17278,68968
1359,60642,1.71021,-87.65778957,41.90117614,0,10.52502324,106.8,49.8,8.8,69.54,69.54,68.20089536,170920,9.436584,0,1.0359,1.3928,25.59164,2.923618,5,18,7,0,0,0,0,0,14625,21444
319,60643,7.305465,-87.66221868,41.69941714,3.602305476,0.136883826,83.4,37.5,27.2,23.18,23.18,28.45245494,109097,8.795943,2.264062,1.4643,1.0397,21.756387,0.136884,1,1,8,3345,125,0.16540108,901,139.446751,13734,48270
320,60644,3.565574,-87.75747955,41.88033755,0.759768452,0,89.6,37,20.7,5.84,5.84,6.9572252,43249,9.537291,1.10319,0.9003,0.8484,21.52519,0,0,0,8,2743,21,0.03933534,472,64.136773,3440,49445
321,60645,2.245249,-87.69504368,42.00846201,6.232453678,0,104,38.4,20.4,47.72,47.72,30.14458227,80721,9.984454,1.888244,1.3516,1.2231,23.551056,0,0,0,2,1670,111,0.04239486,262,42.659244,14678,48692
322,60646,3.836287,-87.76136336,41.99348687,9.277177006,6.256049143,89.1,38.7,26.5,78.02,78.02,39.92005561,145580,8.922583,0.739953,1.7192,1.2597,23.086986,2.867356,11,24,3,1594,163,0.0283868,596,72.805779,11485,28770
323,60647,3.813669,-87.70225617,41.92109659,15.34765404,4.195434895,98,47.9,11.3,62.97,62.97,47.60693237,122194,10.019841,3.025224,1.1147,1.3731,28.51649,0.786644,3,16,13,2995,543,0.11537298,902,88.425262,40792,85685
324,60649,2.91271,-87.57036942,41.76339526,2.07641196,0,79.1,39.3,23.8,3.95,3.95,18.656642,56325,9.75355,2.118861,0.8133,0.8513,24.132798,0,0,0,8,2358,50,0.06171607,369,53.495621,9355,50143
325,60651,3.538134,-87.74108032,41.90241092,1.193565127,0,91.3,37.5,18,17.74,17.74,10.98744423,52114,9.82206,1.881275,1.2719,1.1619,19.15213,0,0,0,14,3808,46,0.0665614,322,63.149201,7167,65229
326,60652,4.542528,-87.71205502,41.7459939,1.112781955,0.660425208,94.2,40.3,19.6,26.53,26.53,14.19842266,85415,9.137237,4.656339,1.7614,1.2359,20.001144,0.440283,2,3,7,3288,37,0.21151421,576,87.257848,5995,42223
