zipcode,Pct_EV_17,Pct_EV_18,Pct_EV_19,Pct_EV_20,Pct_EV_21,Pct_EV_22
60002,0.452488688,0.855005344,1.22334848,1.482004234,2.15285253,3.857566766
60004,1.439539347,2.265673495,3.377166766,4.332237825,6.810477658,10.88476741
60005,0.99047619,1.659904094,2.453102453,3.244622676,5.783738474,9.010526316
60007,1.160238319,1.426872771,2.345786273,3.195543829,4.700162075,6.818934128
60008,0.541711809,0.981404959,1.701701702,2.034358047,2.750225428,5.35174795
60010,4.652301665,6.67916569,8.994464945,11.57943492,15.63892145,21.97626654
60012,1.114206128,1.912568306,2.867383513,3.52303523,5.248868778,8.227848101
60013,0.461022632,1.220504475,1.699029126,2.156224573,3.217821782,5.228215768
60014,0.543209877,0.926806084,1.292705448,2.238283982,3.619047619,5.603242728
60015,5.826906598,7.744783307,9.649122807,12.88998358,18.88650964,26.09406953
60016,0.992863791,1.226076555,2.246543779,3.02425107,5.29685681,8.461538462
60018,0.142680491,0.230473752,0.363526204,0.522931847,0.910556768,14.39698932
60020,0.566251416,0.537634409,0.720164609,1.03950104,1.882845188,3.58649789
60021,0.623700624,0.984251969,2.067669173,3.100775194,5.363984674,7.766990291
60022,12.81337047,16.62198391,21.48337596,26.54639175,33.04130163,41.76610979
60025,3.55292376,5.055575475,6.938053097,8.88030888,12.61326568,18.14984172
60026,5.032258065,8.740359897,12.09580838,16.17122473,22.4824356,31.29102845
60029,4.166666667,8.620689655,11.86440678,16.07142857,23.33333333,22.58064516
60030,0.777934936,1.341381623,2.059800664,2.979578172,4.646324549,6.890521161
60031,0.69298614,1.217719924,1.891498649,2.869993575,5.001213887,7.016229713
60033,0.137741047,0.13029316,0.185299568,0.297619048,0.635103926,1.023308698
60034,0,0,0.350877193,0.337837838,1.379310345,1.083032491
60035,10.4860486,13.57971637,19.46938776,25.66510172,31.26206098,37.39480424
60037,0,0,0,0,0,0
60040,3.703703704,4.560260586,6.269592476,7.073954984,8.637873754,11.9266055
60041,0.412371134,0.394477318,0.662251656,0.834105653,1.115241636,1.158301158
60042,0.125628141,0.362756953,0.941176471,1.451027811,1.965601966,3.015075377
60043,7.112970711,9.205020921,11.01694915,15.87982833,20.60085837,27.41935484
60044,2.716823406,3.685258964,6.274131274,8.042635659,10.84710744,15.41666667
60045,5.423213381,7.307307307,9.027431421,12.05852674,16.25974026,22.72496187
60046,0.4375,0.756200847,1.252609603,1.911407767,2.956415727,4.99238965
60047,3.509272468,5.188031842,7.090663058,8.750673129,12.0650954,17.76315789
60048,2.015503876,2.975821451,4.605873261,6.599937441,9.248554913,14.36305732
60050,0.357036596,0.519480519,0.675865953,0.868834081,1.457975986,2.685157864
60051,0.419287212,0.587084149,0.947328534,1.116071429,2.009859689,3.232012312
