zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60002,41.093879,-88.08966742,42.46807222,1.22334848,4.499730356,100.1,40.9,23.8,24.00448915,103868,6.372364,0.051979,2.0289,1.2456,5.298569,91.39,35,2826,,,3,24058,12033,12025,5775,9,0.02136,938,217.738744,2019
60004,11.386931,-87.97868368,42.11219304,3.377166766,0.614739828,93.4,41,26.1,44.11816979,122760,8.400011,0.593022,1.7806,1.2485,17.306271,83.47,113,3233,4,7,5,50639,24452,26187,22341,53,0.067527,1280,197.065311,2019
60005,8.425743,-87.98788385,42.05763045,2.453102453,0.237367791,103.7,41.4,27.6,38.95408757,110653,8.180291,2.219947,1.64,1.1762,14.547259,82.73,68,2704,1,2,4,30079,15312,14767,11717,119,0.187047,723,122.571466,2019
60007,15.824509,-87.9963691,42.00942029,2.345786273,0.631931139,93.6,41.7,26.7,28.20481891,103067,7.64757,0.924503,1.7907,1.2606,11.92994,82.61,81,3372,4,10,11,33161,16035,17126,9353,102,0.146298,1022,188.785446,2019
60008,5.24462,-88.02261469,42.07462963,1.701701702,5.720147504,100.6,41.9,20.6,25.97516503,87442,8.326158,2.47507,1.7714,1.3457,18.517772,73.81,34,1964,3,30,3,21663,10865,10798,5627,37,0.129808,716,97.118678,2019
60010,72.476455,-88.16537224,42.15484946,8.994464945,0.082785506,95.7,40.7,27.2,48.14982241,170459,6.462978,0.285949,2.1612,1.2106,6.149215,83.88,390,3946,3,6,0,46455,22717,23738,22368,76,0.207246,1955,445.67334,2019
60012,18.564262,-88.31020842,42.27288891,2.867383513,0.215467763,94,43.4,22.3,38.34883066,140882,6.351795,0.342378,2.3046,1.5022,6.442935,96.37,32,1084,1,4,1,10647,5159,5488,4083,40,0.06356,372,119.608335,2019
60013,15.345235,-88.23492069,42.22108851,1.699029126,4.499730356,103.5,42.8,19.3,30.09752778,109652,7.452358,0.238172,2.168,1.4443,9.308073,93.74,42,2430,,,0,26454,13455,12999,7962,33,0.036548,604,142.834563,2019
60014,24.982459,-88.32629601,42.23065441,1.292705448,0.160112341,100.2,43.1,19.5,28.8080228,104412,7.562094,0.300127,2.0044,1.3708,10.469492,92.88,56,4276,3,4,7,48063,24060,24003,13846,58,0.074979,1194,261.553645,2019
60015,13.519322,-87.87472084,42.17279184,9.649122807,4.499730356,94.5,40.1,23.2,52.13048058,169949,7.618875,1.374159,1.9071,1.3001,11.404165,88.45,242,2266,,,8,27529,13377,14152,14351,99,0.185777,912,154.176582,2019
60016,10.126296,-87.89186712,42.04821867,2.246543779,0.59251675,90.5,41.8,25.1,30.55101111,81957,8.675077,1.07838,1.6478,1.2806,16.211171,67.15,78,3394,3,6,7,59291,28173,31118,18114,71,0.1092,1134,164.159121,2019
60018,9.244896,-87.89529277,42.00997982,0.363526204,3.028698214,100.5,40.3,21.8,19.20631221,76948,8.086114,3.668154,1.8439,1.3631,15.073168,79.66,48,13156,8,28,10,30037,15058,14979,5769,124,0.339117,1065,139.349867,2019
60020,7.299643,-88.17183141,42.39862881,0.720164609,4.499730356,87,43.6,24.8,17.45346383,77287,7.263849,0.083442,1.6569,1.0511,8.991892,93.6,7,965,,,6,10422,4849,5573,1819,6,0.006091,395,65.637599,2019
60021,2.2744,-88.21862908,42.19469212,2.067669173,4.499730356,91.6,48.9,15,37.94541319,123952,7.749207,0.064105,2.0749,1.4669,16.042663,93.27,11,521,,,2,5276,2523,2753,2002,2,0.001458,169,36.487432,2019
60022,4.166859,-87.76688973,42.1361817,21.48337596,4.499730356,100.9,38.8,26.4,58.62353913,250000,7.617241,0.461091,1.8901,1.1476,12.775685,90.05,168,614,,,0,8471,4255,4216,4966,16,0.019213,286,53.234479,2019
60025,11.522825,-87.82185973,42.07524704,6.938053097,1.648901203,96.6,38.5,27.7,43.78404788,132500,8.175411,0.684754,1.8377,1.1828,14.407461,81.7,196,2629,4,19,7,40935,20111,20824,17923,48,0.078903,1213,166.014648,2019
60026,4.001853,-87.83758608,42.0920387,12.09580838,4.499730356,93.9,38.8,29.1,48.62705941,145255,8.161554,2.127564,1.7779,1.1634,15.621563,74.99,101,734,,,0,14021,6789,7232,6818,41,0.085142,466,62.5152,2019
