zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60134,15.925133,-88.34162604,41.87854257,5.066552168,0.627938241,92.7,43,19.6,44.36978844,143194,7.507911,1.610454,1.9686,1.368,11.431144,92.84,118,2211,5,10,3,29022,13958,15064,12877,187,0.256467,894,182.042496,2020
60136,8.147306,-88.38249146,42.1067693,4.21875,4.499730356,105.8,48.6,13.7,27.31394031,94967,6.882107,0.104734,2.0783,1.3363,8.736299,77.41,27,613,,,1,7941,4083,3858,2169,12,0.008533,190,71.177303,2020
60137,11.657866,-88.06195453,41.86500984,4.62915601,0.857789925,95.2,39.4,24.4,44.3431862,153690,8.08559,2.288764,1.8291,1.2723,14.958191,85.58,181,3729,3,10,3,37857,18462,19395,16787,176,0.266821,822,174.380587,2020
60139,5.664557,-88.07772943,41.91969004,1.684114702,0.353072623,99.8,39.4,17.8,20.63276969,71226,8.698298,0.956032,1.9033,1.4557,17.139587,48.38,37,2160,2,2,0,33946,16955,16991,7004,21,0.054155,489,97.088166,2020
60140,85.875306,-88.51220259,42.07790892,2.010309278,4.499730356,96.2,41.6,20.2,29.38615825,103693,5.353419,0.037907,2.1784,1.4191,2.855643,85.6,39,1901,,,6,18148,8900,9248,5333,25,0.032553,592,245.229213,2020
60141,0.348923,-87.83895624,41.85820311,0,4.499730356,730.8,7.7,90.4,38.58024691,105872.56,6.833648,18.492332,0.6098,0,24.598206,50,0,6,,,0,324,285,39,125,35,0.064524,39,8.58288,2020
60142,41.166904,-88.4467892,42.1777738,2.888700085,4.499730356,98.5,34.3,37.3,29.01801,95810,6.564495,0.27287,1.7004,0.9398,5.419848,88.82,68,2286,,,1,29206,14494,14712,8475,46,0.112332,783,223.11835,2020
60143,7.464536,-88.01991968,41.97345323,3.370058328,0.937767599,89.3,43.4,26.6,34.23846823,112092,7.339069,1.260695,1.9906,1.4895,11.457627,82.52,52,1491,3,7,2,11490,5421,6069,3934,53,0.094105,494,85.525869,2020
60148,13.987375,-88.01814326,41.87463387,0.603007685,0.714930428,93,39.7,22.1,35.10767044,101594,8.221939,1.870394,1.8155,1.286,15.298562,76.77,164,27033,4,10,10,52057,25082,26975,18276,130,0.261619,1199,213.986719,2020
60151,85.470886,-88.56682109,41.91684279,0.530973451,4.499730356,103.4,39.1,26.1,19.93879473,108371,3.906028,0.020206,2.3548,1.4398,1.799185,95.1,3,562,,,0,4248,2159,2089,847,15,0.01727,180,153.777962,2020
60152,94.604717,-88.62672551,42.24023226,0.82697201,4.499730356,92.7,31.7,27.2,18.84281425,100938,4.869515,0.008448,2.1827,1.2718,2.18582,96.94,13,1559,,,3,12323,5928,6395,2322,14,0.007992,432,206.78888,2020
60153,3.535751,-87.84103277,41.87535621,0.616698292,4.499730356,96.8,39.1,20.3,10.39355916,64212,8.795469,1.80963,1.6699,1.2295,22.046826,17.36,13,2095,,,4,23351,11488,11863,2427,54,0.063984,367,77.952088,2020
60154,3.4567,-87.88729261,41.85147409,1.945525292,0.289293257,89.9,38.6,35.5,33.54660105,108067,8.455841,1.684207,1.7843,1.153,20.060124,67.23,25,1260,1,1,5,16255,7693,8562,5453,37,0.058218,329,69.34183,2020
60155,1.92365,-87.85635293,41.8570349,0.873907615,4.499730356,104.4,42.7,25.6,13.78142504,80000,8.29176,2.02121,1.5357,1.107,22.582938,18.93,7,794,,,2,7677,3922,3755,1058,10,0.038881,184,43.441669,2020
60156,11.139197,-88.34577188,42.19140186,2.596849723,0.179546156,93.8,44.2,12.4,24.95380217,107850,7.85352,0.431988,2.0779,1.5575,10.446519,85.07,61,2288,1,2,2,28681,13878,14803,7157,76,0.04812,597,116.365835,2020
60157,1.804754,-88.0551174,41.97264752,5.020920502,4.499730356,106.2,36.8,29.8,22.04379562,112500,7.325289,1.004292,2.404,1.3535,13.469914,95.73,12,227,,,0,2740,1411,1329,604,10,0.018125,103,24.309881,2020
