zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60002,41.093879,-88.08966742,42.46807222,0.855005344,4.499730356,100.7,41.2,23.7,22.83304247,100000,6.372696,0.051979,1.9711,1.2272,5.313958,92,24,2783,,,3,24066,12076,11990,5495,9,0.02136,904,218.371137,2018
60004,11.386931,-87.97868368,42.11219304,2.265673495,0.614739828,90.5,40.5,26.2,44.02828243,117831,8.405447,0.593022,1.7845,1.2366,17.082284,84.59,73,3149,4,7,5,50915,24193,26722,22417,53,0.067527,1218,194.514794,2018
60005,8.425743,-87.98788385,42.05763045,1.659904094,0.237367791,103.7,40.9,27.4,38.76908494,108833,8.162175,2.219947,1.6249,1.1566,14.528814,83.34,45,2666,1,2,4,29539,15040,14499,11452,119,0.187047,707,122.416056,2018
60007,15.824509,-87.9963691,42.00942029,1.426872771,0.631931139,97.6,42.1,26.2,28.02214243,97135,7.65535,0.905298,1.8064,1.2543,11.974515,82.53,48,3316,4,10,11,33420,16504,16916,9365,101,0.143259,997,189.490825,2018
60008,5.24462,-88.02261469,42.07462963,0.981404959,4.576118003,94.4,43.4,20.2,26.5103284,80479,8.333975,2.430262,1.7351,1.2892,18.542952,70.04,19,1917,2,24,3,21833,10604,11229,5788,36,0.127458,689,97.250739,2018
60010,72.476455,-88.16537224,42.15484946,6.67916569,0.027595169,93.4,40.5,27.5,47.24325732,160217,6.455024,0.254437,2.158,1.2211,6.134872,83.37,285,3982,1,2,0,46087,22253,23834,21773,61,0.184407,1881,444.633743,2018
60012,18.564262,-88.31020842,42.27288891,1.912568306,0.215467763,96,43.5,22.9,37.66198211,138844,6.380587,0.342373,2.2964,1.4949,6.455389,95.48,21,1077,1,4,1,10958,5366,5592,4127,40,0.063559,332,119.839528,2018
60013,15.345235,-88.23492069,42.22108851,1.220504475,4.499730356,103.3,43.1,18.4,29.76729779,109657,7.428371,0.238172,2.1284,1.4454,9.371594,92.61,30,2428,,,0,25827,13124,12703,7688,33,0.036548,584,143.809306,2018
60014,24.982459,-88.32629601,42.23065441,0.926806084,0.160112341,101,43.6,18.7,28.76783023,101153,7.569969,0.289067,2.0205,1.387,10.539924,93.1,39,4169,3,4,7,48443,24343,24100,13936,55,0.072216,1142,263.313229,2018
60015,13.519322,-87.87472084,42.17279184,7.744783307,4.499730356,94.3,40.5,23.3,51.69386566,166397,7.616074,1.591419,1.9278,1.2925,12.006029,90.25,193,2299,,,8,27452,13323,14129,14191,107,0.215149,863,162.313378,2018
60016,10.126296,-87.89186712,42.04821867,1.226076555,0.395011167,93.8,42.5,24.6,31.31780606,80636,8.680896,1.040746,1.6556,1.2808,16.337057,66.55,41,3303,2,4,7,59637,28865,30772,18677,70,0.105389,1113,165.43388,2018
60018,9.244896,-87.89529277,42.00997982,0.230473752,3.028698214,104.2,40.3,21.7,18.28802738,67949,8.097666,3.291027,1.8528,1.3276,15.147451,76.46,27,11688,8,28,10,30386,15503,14883,5557,110,0.304252,1038,140.036609,2018
60020,7.299643,-88.17183141,42.39862881,0.537634409,4.499730356,83.9,43.7,23,18.08283301,69889,7.205064,0.052564,1.6858,1.0749,8.79942,93.85,5,925,,,6,9827,4482,5345,1777,5,0.003837,372,64.232622,2018
60021,2.2744,-88.21862908,42.19469212,0.984251969,4.499730356,93.2,48.8,12.1,35.0036049,121447,7.799477,0.064105,2.0959,1.4676,17.300889,93.93,5,503,,,2,5548,2677,2871,1942,2,0.001458,167,39.349143,2018
60022,4.166859,-87.76688973,42.1361817,16.62198391,4.499730356,98,39.6,25.3,57.1664504,250000,7.617949,0.461091,1.9311,1.1796,12.716125,93.56,124,622,,,0,8477,4196,4281,4846,16,0.019213,273,52.986301,2018
60025,11.522825,-87.82185973,42.07524704,5.055575475,1.301764107,93.2,38.6,27,42.71712098,127044,8.177339,0.704089,1.8447,1.176,14.089573,82.32,141,2648,3,15,7,41014,19786,21228,17520,45,0.081131,1148,162.351682,2018
60026,4.001853,-87.83758608,42.0920387,8.740359897,4.499730356,96.4,38.8,29.1,48.26462672,145991,8.168448,2.127564,1.7556,1.1295,15.302502,75.85,68,710,,,0,14118,6931,7187,6814,41,0.085142,437,61.238363,2018
60029,0.431188,-87.78489303,42.05846624,8.620689655,4.499730356,115.4,37.9,17,45.89285714,220000,7.169148,1.179764,2.12,1.3533,10.54063,94.46,5,53,,,0,560,300,260,257,4,0.005087,20,4.544993,2018
60030,30.625952,-88.04936964,42.33157555,1.341381623,0.065304092,98.3,42.2,21.1,32.66425836,110948,7.091867,0.414309,1.8636,1.2757,7.385593,85.39,40,2942,1,2,1,36817,18255,18562,12026,59,0.126886,866,226.190822,2018
60031,18.935159,-87.94144976,42.37456668,1.217719924,4.499730356,94.4,42.1,18.5,34.81383837,115401,7.582291,2.061118,1.89,1.3741,11.221448,72.66,58,4705,,,7,37172,18049,19123,12941,80,0.390276,1004,212.479901,2018
60033,115.565459,-88.60663159,42.42341826,0.13029316,4.499730356,97.4,36.1,19.6,10.52554638,63091,4.773926,0.104629,2.0208,1.2679,1.714761,92.86,2,1533,,,2,13681,6752,6929,1440,65,0.120915,399,198.167173,2018
60034,30.803744,-88.42325057,42.45908842,0,4.499730356,108.7,39,21.4,11.65142032,75417,4.211044,0.027971,2.1445,1.3034,2.243871,92.2,0,260,,,0,2077,1082,995,242,8,0.008616,76,69.119636,2018
60035,12.587927,-87.81066761,42.18347977,13.57971637,0.158882396,92.7,38.5,29.8,53.49767942,179333,7.767308,1.238981,1.8887,1.1908,11.7908,92.06,316,2011,1,2,5,29734,14306,15428,15907,185,0.155962,846,148.421725,2018
60037,0.238867,-87.80576026,42.21032325,0,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,3.386822,1.718985236,1.238925099,11.857113,66.35516403,0,15,,,0,,,,,7,0.00809,20,2.832273,2018
60040,0.639924,-87.81348844,42.20554787,4.560260586,4.499730356,105.4,44.9,18.4,28.3637719,88365,9.034244,3.251949,1.5283,1.3262,18.911122,80.88,14,293,,,1,5366,2753,2613,1522,49,0.02081,87,12.101681,2018
60041,12.484847,-88.15675424,42.36887299,0.394477318,4.499730356,95.6,35.6,25.2,19.06260537,81250,6.568954,0.030261,2.0324,1.217,7.249158,94.69,4,1010,,,3,8897,4348,4549,1696,7,0.003778,420,90.504624,2018
60042,4.005973,-88.20084827,42.27523556,0.362756953,4.499730356,111.9,47.8,17.7,19.16864608,83750,7.650579,0.063905,1.9184,1.3586,11.914001,94.52,3,824,,,1,8420,4446,3974,1614,3,0.00256,257,47.727167,2018
60043,0.603398,-87.71460671,42.08878357,9.205020921,4.499730356,102.7,38.3,19.9,57.00636943,250000,8.334013,0.356481,2.0743,1.0705,27.7151,92.48,22,217,,,0,2512,1273,1239,1432,4,0.002151,73,16.723236,2018
60044,7.500042,-87.86786919,42.28675043,3.685258964,4.499730356,86.6,37.9,23,52.48425472,148630,7.195732,1.639791,1.8793,1.2182,10.975579,84.64,37,967,,,0,10003,4642,5361,5250,31,0.122985,331,82.317302,2018
60045,21.847284,-87.87077637,42.2385324,7.307307307,0.09154456,98.2,34.9,28.9,54.45553926,222393,6.87442,0.354689,2.1242,1.0883,7.308404,87.87,146,1852,1,2,6,21131,10472,10659,11507,39,0.07749,623,159.668773,2018
60046,26.326375,-88.06051641,42.41408548,0.756200847,0.113954162,100,43.4,17.3,28.91515048,113802,7.20067,0.263052,2.0734,1.3756,8.662639,89.89,25,3281,2,3,2,35286,17646,17640,10203,96,0.069252,907,228.055886,2018
60047,35.699996,-88.04639684,42.20231645,5.188031842,4.499730356,99.8,43.9,18.5,42.54520721,147843,7.085327,0.386675,2.2411,1.5386,8.926766,83.69,189,3454,,,9,42637,21299,21338,18140,61,0.138043,1418,318.685496,2018
60048,29.632464,-87.94724471,42.29400196,2.975821451,0.202480631,95.5,41.9,22.4,47.24344415,163237,6.888179,0.640365,2.002,1.3246,7.018002,89.52,96,3130,4,6,8,29058,14196,14862,13728,76,0.189756,835,207.960685,2018
60050,26.14527,-88.2936226,42.33129144,0.519480519,0.038247836,98.9,40.8,21,18.53843334,88362,7.13244,1.027478,1.8766,1.271,7.259661,94.67,18,3447,1,1,7,32732,16272,16460,6068,295,0.268637,684,189.805806,2018
60051,36.708621,-88.22757486,42.35370905,0.587084149,4.499730356,99.9,43.9,19.9,20.02747017,95537,6.453111,0.383507,2.1851,1.3553,6.087259,94.15,15,2540,,,3,23298,11641,11657,4666,58,0.14078,947,223.454891,2018
60053,5.039841,-87.78888816,42.04237233,3.677058353,4.499730356,98.4,38.9,31.9,34.36962504,98967,8.436944,1.20484,1.8709,1.2381,20.169001,62.43,46,1205,,,6,23256,11532,11724,7993,50,0.060722,539,101.64856,2018
60056,11.403199,-87.9316531,42.06684424,1.361752516,0.35077876,100.9,42,22.2,30.8199095,91059,8.48573,1.155983,1.7787,1.2666,17.620387,75.71,46,3332,2,4,6,55250,27755,27495,17028,66,0.131819,1253,200.928785,2018
60060,22.889346,-88.0380871,42.26630266,1.803394625,4.499730356,104.1,41.2,19.5,31.65179531,102054,7.393608,0.408098,2.0349,1.4447,8.473031,78.66,51,2777,,,11,37208,18979,18229,11777,48,0.093411,794,193.942129,2018
60061,8.15117,-87.96227236,42.23356999,4.608585859,0.245363549,97.3,43.7,18.6,44.81558288,125947,8.105579,2.814283,1.7545,1.3152,11.438056,67.22,73,1511,1,2,4,27004,13315,13689,12102,91,0.229397,698,93.233543,2018
60062,19.809708,-87.84518665,42.12707292,6.213394449,0.353362099,88.6,37.1,34.1,50.35220841,142492,7.621872,1.093484,1.7905,1.0538,11.735867,81.36,244,3683,4,7,5,40459,19008,21451,20372,93,0.216616,1630,232.484098,2018
60064,5.264477,-87.8628214,42.32249921,0.693069307,0.189952392,98.2,36.7,14.4,8.06112703,41968,8.000753,1.337189,1.5462,1.1769,14.061442,36.99,7,1003,1,1,1,15705,7782,7923,1266,29,0.070396,218,74.026138,2018
60067,13.459955,-88.06564273,42.10823149,3.723594701,0.297177814,90.7,42.7,24.1,45.12926631,134811,7.95027,1.165034,1.8063,1.2251,15.046679,77.05,104,2689,3,4,2,38177,18153,20024,17229,85,0.156813,1162,202.527623,2018
60068,7.292982,-87.84411721,42.01205273,3.589315526,0.274236245,94.8,38.8,25.9,41.88308247,139320,8.551457,1.88521,1.8031,1.2119,20.197021,91.93,86,2310,1,2,7,37736,18368,19368,15805,104,0.137488,743,147.29651,2018
60069,6.260795,-87.92492409,42.19315578,6.03085554,4.499730356,91,33.2,39.6,49.30368923,150917,7.175873,0.785236,1.6856,0.9508,16.046226,86.55,43,670,,,2,8186,3900,4286,4036,17,0.049162,404,100.462133,2018
60070,3.701119,-87.92723608,42.10346265,1.232032854,4.499730356,107.1,38.3,23.4,25.64022681,79332,8.374767,0.097565,1.709,1.2914,14.630715,68.86,12,962,,,1,16049,8298,7751,4115,3,0.003611,419,54.150017,2018
60071,23.904404,-88.31071854,42.46443955,1.260504202,4.499730356,95.3,40.5,22.2,18.29098017,91652,5.009335,0.102701,2.0293,1.2094,3.394714,91.48,6,470,,,0,3581,1747,1834,655,50,0.02455,154,81.148605,2018
60072,8.554997,-88.30655197,42.41276577,3.816793893,4.499730356,107.9,39.1,26.8,22.91870715,119792,4.782022,0.16803,2.4835,1.4835,2.809358,94.81,5,126,,,0,1021,530,491,234,19,0.014375,35,24.03405,2018
60073,18.676502,-88.10993721,42.35014616,0.668103448,4.499730356,104.8,41.5,12.7,14.87051502,80564,8.10287,0.855203,2.0457,1.5465,12.38097,78.22,31,4609,,,12,61706,31573,30133,9176,101,0.159722,959,231.233218,2018
60074,8.716544,-88.03390742,42.13407802,1.157098353,0.229448736,103.9,43.2,17.1,28.59567354,78125,8.418276,2.04121,1.7192,1.3891,13.829741,61.55,26,2221,1,2,5,39478,20116,19362,11289,107,0.177923,675,120.547542,2018
60076,5.376579,-87.73049342,42.03544993,3.514180025,4.499730356,90.9,37.7,28.8,37.08224809,97571,8.687274,2.156613,1.7858,1.2863,20.537946,56.35,57,1565,,,6,31867,15177,16690,11817,93,0.115952,614,110.423889,2018
60077,4.327367,-87.75873349,42.03693268,2.040816327,6.239359869,88.3,38.9,26,32.42260581,79397,8.786682,5.340938,1.5978,1.1629,23.575914,57.69,28,1344,5,27,4,28329,13285,15044,9185,94,0.231122,589,102.021633,2018
60081,20.658642,-88.21963176,42.45134666,1.022012579,4.499730356,106.8,42,22.3,17.56728778,97154,6.147615,0.070886,2.2161,1.3459,5.980718,97.33,13,1259,,,1,9660,4988,4672,1697,16,0.014644,417,123.553511,2018
60083,26.808843,-87.9479647,42.43743358,2.659574468,4.499730356,100.4,39.3,20.1,31.8018018,106944,5.920608,0.018774,2.105,1.2918,4.484509,72.61,25,915,,,4,9990,5004,4986,3177,6,0.005033,258,120.224485,2018
