zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60002,41.093879,-88.08966742,42.46807222,0.452488688,4.499730356,99.3,42.4,21.4,11.97505884,89346,6.378951,0.018516,1.9485,1.2438,5.332762,91.92,12,2640,,,3,24217,12066,12151,2900,7,0.007609,892,219.143856,2017
60004,11.386931,-87.97868368,42.11219304,1.439539347,0.614739828,91.2,40.6,25.4,21.78795077,113261,8.405957,0.406501,1.7995,1.2483,16.894192,85.27,45,3081,4,7,5,50941,24300,26641,11099,31,0.046288,1168,192.373004,2017
60005,8.425743,-87.98788385,42.05763045,0.99047619,0.237367791,102,42.4,25.9,19.49714741,105191,8.182582,1.884498,1.6283,1.1638,14.581772,82.97,26,2599,1,2,4,30148,15220,14928,5878,105,0.158783,695,122.86226,2017
60007,15.824509,-87.9963691,42.00942029,1.160238319,0.505544911,99.5,43.2,24.9,14.23525571,92047,7.663426,0.837915,1.8032,1.2524,11.816452,81.74,37,3152,3,8,11,33691,16806,16885,4796,91,0.132596,950,186.989555,2017
60008,5.24462,-88.02261469,42.07462963,0.541711809,0.381343167,97.3,42.2,20.8,12.75877793,77592,8.338408,1.820303,1.6843,1.2348,18.563571,69.95,10,1836,1,2,3,21930,10814,11116,2798,33,0.095468,686,97.358876,2017
60010,72.476455,-88.16537224,42.15484946,4.652301665,0.027595169,92.7,41,26.9,24.50963222,153815,6.446154,0.233061,2.1563,1.2286,6.160793,85.34,190,3894,1,2,0,45680,21975,23705,11196,46,0.168914,1849,446.512417,2017
60012,18.564262,-88.31020842,42.27288891,1.114206128,0.215467763,96.6,44.9,22.4,20.30413968,141419,6.352358,0.320578,2.2478,1.4437,6.477998,95.33,12,1065,1,4,1,10653,5235,5418,2163,37,0.059513,332,120.259259,2017
60013,15.345235,-88.23492069,42.22108851,0.461022632,4.499730356,102,43,17.8,15.2526179,109356,7.441411,0.229381,2.1166,1.4247,9.362741,93.11,11,2375,,,0,26166,13211,12955,3991,31,0.035199,577,143.673462,2017
60014,24.982459,-88.32629601,42.23065441,0.543209877,0.160112341,100.8,43.7,17.5,14.98774535,99400,7.572237,0.265983,2.0222,1.3889,10.437456,93.2,22,4028,3,4,7,48553,24371,24182,7277,51,0.066449,1105,260.75331,2017
60015,13.519322,-87.87472084,42.17279184,5.826906598,4.499730356,92.7,41.1,22.8,26.59282816,165833,7.612608,1.540314,1.9563,1.323,11.882775,90.48,136,2198,,,8,27357,13158,14199,7275,97,0.20824,836,160.647068,2017
60016,10.126296,-87.89186712,42.04821867,0.992863791,0.395011167,95.3,41.4,23.9,16.9808455,76899,8.67447,0.990007,1.6374,1.2517,16.164137,64.9,32,3191,2,4,7,59255,28911,30344,10062,68,0.100251,1060,163.682835,2017
60018,9.244896,-87.89529277,42.00997982,0.142680491,1.730684693,105.6,40.8,20.6,9.29090615,67262,8.116218,2.961407,1.8986,1.367,15.036538,73.26,15,10498,6,16,10,30955,15898,15057,2876,107,0.273779,987,139.011233,2017
60020,7.299643,-88.17183141,42.39862881,0.566251416,4.499730356,81.2,43.5,24.8,9.86579244,68113,7.198325,0.052564,1.6289,1.0313,8.8097,94.51,5,878,,,6,9761,4373,5388,963,5,0.003837,372,64.307665,2017
60021,2.2744,-88.21862908,42.19469212,0.623700624,4.499730356,88,46.4,12.6,17.12637462,113300,7.799296,0,2.0548,1.4006,17.171611,88.05,3,478,,,2,5547,2596,2951,950,,,164,39.055111,2017
60022,4.166859,-87.76688973,42.1361817,12.81337047,4.499730356,99,39.5,25.6,29.14866285,250000,7.628043,0.454227,1.9671,1.2223,12.778969,93.37,92,626,,,0,8563,4259,4304,2496,13,0.018927,264,53.248161,2017
60025,11.522825,-87.82185973,42.07524704,3.55292376,0.433921369,92.7,39.3,25.9,21.2500609,121758,8.178314,0.358202,1.8219,1.1818,14.280736,82.82,96,2606,2,5,7,41054,19749,21305,8724,33,0.041275,1152,164.554418,2017
60026,4.001853,-87.83758608,42.0920387,5.032258065,4.499730356,93,37.4,29,26.01944464,143783,8.181048,1.536013,1.7703,1.1032,15.626369,74.53,39,736,,,0,14297,6891,7406,3720,36,0.061469,435,62.534431,2017
60029,0.431188,-87.78489303,42.05846624,4.166666667,4.499730356,113.5,35.1,20.2,22.26487524,176563,7.096961,1.179764,2,1.3289,10.456757,90.79,2,46,,,0,521,277,244,116,4,0.005087,19,4.508828,2017
60030,30.625952,-88.04936964,42.33157555,0.777934936,0.065304092,97,42.7,20.1,16.47707409,105239,7.101813,0.376681,1.8788,1.2821,7.556202,86.4,22,2806,1,2,1,37185,18310,18875,6127,54,0.115362,841,231.415879,2017
60031,18.935159,-87.94144976,42.37456668,0.69298614,4.499730356,95.6,42.9,17.1,18.26249167,103900,7.591742,1.924167,1.9036,1.368,11.349096,74.66,33,4729,,,7,37525,18340,19185,6853,58,0.364344,951,214.896937,2017
60033,115.565459,-88.60663159,42.42341826,0.137741047,4.499730356,109.8,34.9,20.4,4.73668726,61280,4.767694,0.098574,2.0035,1.2671,1.775994,93.58,2,1450,,,2,13596,7116,6480,644,47,0.113917,396,205.243559,2017
60034,30.803744,-88.42325057,42.45908842,0,4.499730356,110.9,41.4,20.6,5.47024952,72574,4.214408,0.02053,2.0793,1.2596,2.240713,91.84,0,253,,,0,2084,1096,988,114,6,0.006324,75,69.022359,2017
60035,12.587927,-87.81066761,42.18347977,10.48604861,0.158882396,93.9,38.1,29.9,26.39331611,169754,7.769626,1.151675,1.8808,1.1488,11.847885,92.21,233,1989,1,2,5,29803,14436,15367,7866,176,0.144972,805,149.140306,2017
60037,0.238867,-87.80576026,42.21032325,0,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,0.066564,1.718985236,1.238925099,11.796108,66.35516403,0,15,,,0,,,,,1,0.000159,21,2.817701,2017
60040,0.639924,-87.81348844,42.20554787,3.703703704,4.499730356,107.2,41.7,19.5,15.03255814,81114,9.03592,3.032235,1.5861,1.2883,19.529594,84.65,11,286,,,1,5375,2781,2594,808,46,0.019404,87,12.497456,2017
60041,12.484847,-88.15675424,42.36887299,0.412371134,4.499730356,91.9,37.2,22.7,11.1377109,72500,6.554804,0.030261,2.0006,1.2057,7.263852,93.62,4,966,,,3,8772,4202,4570,977,7,0.003778,420,90.688085,2017
60042,4.005973,-88.20084827,42.27523556,0.125628141,4.499730356,107.8,46.9,17.8,11.0727056,76500,7.647009,0.063905,1.9157,1.3553,11.914299,93.86,1,795,,,1,8390,4353,4037,929,3,0.00256,256,47.728361,2017
60043,0.603398,-87.71460671,42.08878357,7.112970711,4.499730356,109.8,38.3,21.8,29.91755006,250000,8.34785,0.356481,2.0185,1.1047,27.715102,93.6,17,222,,,0,2547,1333,1214,762,4,0.002151,73,16.723237,2017
60044,7.500042,-87.86786919,42.28675043,2.716823406,4.499730356,86.7,38.9,22.5,27.69824348,139630,7.180217,1.639791,1.8807,1.2191,10.831035,86.87,26,931,,,0,9849,4573,5276,2728,31,0.122985,319,81.233218,2017
