zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60002,41.093879,-88.08966742,42.46807222,2.15285253,0.048669049,98.9,41.4,22.9,26.64385538,114609,6.380601,0.082825,2.019,1.2511,4.724041,88.59,60,2727,1,2,3,24257,12063,12194,6463,20,0.034036,958,194.12915,2021
60004,11.386931,-87.97868368,42.11219304,6.810477658,0.614739828,95.9,41.2,25,43.11860003,133811,8.433126,0.68814,1.7648,1.269,17.641176,78.3,221,3024,4,7,5,52344,25624,26720,22570,55,0.078358,1399,200.878851,2021
60005,8.425743,-87.98788385,42.05763045,5.783738474,0.712103372,102.9,42,25.5,41.33414354,114203,8.164981,2.259112,1.6204,1.1949,14.329693,73.53,138,2248,3,6,4,29622,15024,14598,12244,119,0.190347,739,120.738312,2021
60007,15.824509,-87.9963691,42.00942029,4.700162075,0.631931139,92.4,41,26.2,29.5812152,108406,7.644156,0.973218,1.8501,1.2833,11.553227,77.9,145,2940,4,10,11,33048,15875,17173,9776,107,0.154007,1048,182.82414,2021
60008,5.24462,-88.02261469,42.07462963,2.750225428,6.482833837,102.6,44.2,20,26.16532275,96298,8.394317,2.435696,1.7715,1.3359,18.414582,68.16,61,2157,5,34,3,23191,11742,11449,6068,36,0.127743,749,96.577486,2021
60010,72.476455,-88.16537224,42.15484946,15.63892145,0.31734444,96.4,38,28.2,48.9412264,174464,6.477403,0.297132,2.1152,1.1785,6.192317,81.07,667,3598,12,23,0,47130,23127,24003,23066,79,0.215351,2129,448.797171,2021
60012,18.564262,-88.31020842,42.27288891,5.248868778,0.323201644,93.1,41.9,21.7,41.50443989,150046,6.447131,0.338354,2.2258,1.4922,6.436414,93.69,58,1047,2,6,1,11712,5648,6064,4861,49,0.062813,413,119.487271,2021
60013,15.345235,-88.23492069,42.22108851,3.217821782,4.499730356,101.3,43.6,20.1,31.27131028,122214,7.461202,0.242323,2.1506,1.4839,8.709506,89.91,78,2346,,,0,26689,13431,13258,8346,34,0.037185,605,133.649413,2021
60014,24.982459,-88.32629601,42.23065441,3.619047619,0.160112341,104.1,41.7,21.1,27.87532555,109400,7.552666,0.398239,1.9793,1.3589,10.382459,89.87,152,4048,3,4,7,47612,24283,23329,13272,72,0.09949,1252,259.379352,2021
60015,13.519322,-87.87472084,42.17279184,18.88650964,0.147936413,99.4,39.3,26.2,56.38755376,189929,7.62402,1.514928,1.8826,1.2799,11.189771,88.83,441,1894,1,2,8,27671,13791,13880,15603,108,0.204808,937,151.278112,2021
60016,10.126296,-87.89186712,42.04821867,5.29685681,0.59251675,95.2,41.2,26.4,32.07434825,89011,8.72201,1.129209,1.6701,1.2597,16.179291,61.24,182,3254,3,6,7,62140,30307,31833,19931,77,0.114347,1181,163.836286,2021
60018,9.244896,-87.89529277,42.00997982,0.910556768,6.706403187,105.3,40.8,21.4,18.64476527,80260,8.056516,3.560722,1.8872,1.3971,14.26556,66.49,96,10447,12,62,10,29161,14954,14207,5437,124,0.329185,1070,131.883621,2021
60020,7.299643,-88.17183141,42.39862881,1.882845188,4.499730356,81,46.1,23.9,18.25832419,94009,7.311624,0.08399,1.7681,1.083,7.845137,85.95,18,938,,,6,10932,4891,6041,1996,6,0.006131,416,57.266702,2021
60021,2.2744,-88.21862908,42.19469212,5.363984674,4.499730356,83.5,48.6,17.6,32.48799232,118654,7.735659,0.064105,1.9676,1.4141,16.048687,86.46,28,494,,,2,5205,2369,2836,1691,2,0.001458,172,36.501133,2021
60022,4.166859,-87.76688973,42.1361817,33.04130163,4.499730356,87.9,37.3,26.7,57.29850047,250000,7.624885,0.461355,1.961,1.0177,12.18192,94.69,264,535,,,0,8536,3993,4543,4891,16,0.019224,294,50.760343,2021
60025,11.522825,-87.82185973,42.07524704,12.61326568,1.648901203,94,36.6,30,47.00919518,135591,8.205751,0.937331,1.8286,1.1702,14.329118,75.13,348,2411,4,19,7,42196,20450,21746,19836,78,0.108007,1289,165.111914,2021
60026,4.001853,-87.83758608,42.0920387,22.4824356,4.499730356,89.1,37.5,30.4,48.52879065,175540,8.174662,3.189847,1.7044,1.1215,16.014112,70.12,192,662,,,0,14206,6692,7514,6894,59,0.127653,530,64.086122,2021
60029,0.431188,-87.78489303,42.05846624,23.33333333,4.499730356,118.3,41.2,25,53.6259542,215750,7.102703,1.179764,2.2247,1.1685,9.330121,83.02,14,46,,,0,524,284,240,281,4,0.005087,19,4.023036,2021
60030,30.625952,-88.04936964,42.33157555,4.646324549,0.195912277,106.1,39.3,25,35.93771997,121964,7.055919,0.478467,1.8333,1.2345,7.112877,80.25,134,2750,3,6,1,35517,18280,17237,12764,76,0.146535,965,217.83862,2021
60031,18.935159,-87.94144976,42.37456668,5.001213887,0.105623618,92,40.9,20,36.92421598,128712,7.59952,2.074274,1.8825,1.3582,10.844348,69.28,206,3913,1,2,7,37818,18126,19692,13964,84,0.392767,1111,205.339448,2021
60033,115.565459,-88.60663159,42.42341826,0.635103926,4.499730356,98.2,34.9,21.6,9.81842144,74030,4.772244,0.105088,2.0855,1.2409,1.679098,87.3,11,1721,,,2,13658,6766,6892,1341,66,0.121446,438,194.045748,2021
60034,30.803744,-88.42325057,42.45908842,1.379310345,4.499730356,89.5,38.2,22.8,13.28056288,87188,4.301659,0.027971,2.1977,1.4629,2.223327,95.25,4,286,,,0,2274,1074,1200,302,8,0.008616,79,68.48679,2021
60035,12.587927,-87.81066761,42.18347977,31.26206098,1.588823958,96.1,35.5,34.3,55.7138607,197228,7.784546,1.269423,1.8237,1.1736,11.657443,88.91,810,1781,5,20,5,30251,14823,15428,16854,188,0.159794,928,146.743046,2021
60037,0.238867,-87.80576026,42.21032325,0,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,3.386822,1.718985236,1.238925099,11.330418,66.35516403,0,14,,,0,,,,,7,0.00809,19,2.706463,2021
